entry,en,fr
acipenser-sturio,European sturgeon,Esturgeon européen
alosa-alosa,Allis shad,Grande alose
alosa-fallax,Twaite shad,Alose feinte
anguilla-anguilla,European eel,Anguille européenne
lampetra-fluviatilis,River lamprey,Lamproie de rivière
osmerus-eperlanus,European smelt,Éperlan
petromyzon-marinus,Sea lamprey,Lamproie marine
platichthys-flesus,European flounder,Flet
salmo-salar,Atlantic salmon,Saumon atlantique
salmo-trutta,Sea trout,Truite de mer
chelon-ramada,Thinlip grey mullet,Thinlip grey mullet
